canonical_smiles,pchembl_value,assay_description,chembl_id,MolWt,LogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,AromaticRingCount,FractionCSP3,HeavyAtomCount
CC(C)(O)[C@H](F)CNC(=O)C[C@@H]1CCc2cc(C(O)(C(F)(F)F)C(F)(F)F)ccc2N1S(=O)(=O)c1ccc(F)cc1,5.7,Transactivation of PXR in human HepG2 cells by receptor transactivation assay,CHEMBL4212978,618.543,4.263300000000003,106.94,3,5,8,3,2,0.48,41
CC(C)(O)c1ccc(-c2cccc(N(CC34CCC(c5noc(C(C)(C)F)n5)(CC3)CC4)C(=O)[C@H]3C[C@@](C)(O)C3)c2)cc1,4.3,Transactivation of PXR (unknown origin),CHEMBL5202191,589.7520000000004,6.954800000000008,99.69000000000001,2,6,8,7,3,0.5714285714285714,43
CC(C)(O)c1ccc(-c2cccc(N(CC34CCC(c5noc(C(C)(C)F)n5)(CC3)CC4)C(=O)[C@H]3C[C@](O)(C(F)(F)F)C3)c2)cc1,4.3,Transactivation of PXR (unknown origin),CHEMBL5182534,643.7220000000004,7.4972000000000065,99.69000000000001,2,6,8,7,3,0.5714285714285714,46
CC(C)CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,4.666666666666667,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL3189011,386.57600000000025,5.866300000000007,43.370000000000005,0,3,4,4,0,0.84,28
CC(C)CN(CC(C)C)c1ccc(-c2ccccc2C(=O)O)cc1NC(=O)Nc1ccccc1F,5.68,Transactivation of PXR (unknown origin),CHEMBL5272231,477.58000000000015,6.953300000000006,81.67000000000002,3,3,9,3,3,0.2857142857142857,35
CC(C)N1CCN(c2ccc(OCC3COC(Cn4cncn4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,4.9799999999999995,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Activation of rat PXR expressed in human HepG2 cells after 24 hrs by luciferase reporter gene based luminescent analysis,CHEMBL1714574,532.472,4.462700000000003,64.88000000000001,0,7,8,5,3,0.46153846153846156,36
CC(C)c1c(CN(C)C(C)Cc2ccccc2)n(C)n(-c2ccccc2)c1=O,5.51,Activation of PXR in human cryopreserved hepatocytes assessed as induction of CYP3A4 | Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis,CHEMBL1475693,377.5320000000001,4.362400000000004,30.17,0,2,7,3,3,0.375,28
CC(C)c1cc(-c2ccc(C(F)(F)F)cc2CN2C(=O)O[C@H](c3cc(C(F)(F)F)cc(C(F)(F)F)c3)[C@@H]2C)c(Cl)cc1F,5.12,Transactivation of PXR (unknown origin),CHEMBL4876714,641.933,10.40789999999999,29.540000000000003,0,2,5,4,3,0.3448275862068966,43
CC(C)c1cccn2c(C3(c4ccc(Cl)cc4)CC3)nnc12,6.0,Activation of PXR (unknown origin),CHEMBL3318979,311.8160000000001,4.586000000000003,30.19,0,2,3,4,3,0.3333333333333333,22
CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,5.4,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis,CHEMBL163,720.9620000000001,5.905200000000005,145.77999999999997,4,9,17,4,4,0.43243243243243246,50
