canonical_smiles,pchembl_value,assay_description,chembl_id
CCC(O)(c1ccc(C2(S(=O)(=O)c3ccc(F)cc3)CCCC2)cc1)C(F)(F)F,7.32,Transactivation of PXR in human HepG2 cells,CHEMBL4444851
CCCC(=O)Nc1nn(C)c2nc3cc(C)ccc3cc12,5.215,"PUBCHEM_BIOASSAY: Luminescence-based cell-based high throughput dose response assay for activators of the Aryl Hydrocarbon Receptor (AHR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))] | PUBCHEM_BIOASSAY: Luminescence-based counterscreen for activators of the Aryl Hydrocarbon Receptor (AHR): cell-based high throughput dose response screening assay for activators of the Pregnane X Receptor (PXR). (Class of assay: confirmatory) [Related pubchem assays: 2796 (Primary screen (AHR activators in singlicate)), 2845 (Confirmation screen (AHR activators in triplicate)), 434939 (Counterscreen (PXR activators in triplicate)), 2804 (Summary (AHR activators))]",CHEMBL1529540
CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1.Cl,4.7,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Activation of rat PXR expressed in human HepG2 cells after 24 hrs by luciferase reporter gene based luminescent analysis,CHEMBL347036
CCCC(CCC)Oc1ccc(-c2ccccc2-c2nn[nH]n2)cc1NC(=O)Nc1ccc(C)cc1,6.0,Transactivation of PXR (unknown origin),CHEMBL5267732
CCCCCCCCCC(CC)c1ccc(S(=O)(=O)[O-])cc1.[Na+],4.8,Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL1720065
CCCCCCCCCCCCCCCC[N+](C)(C)CCN(Cc1ccc(OC)cc1)c1ncccn1.[Br-],4.95,Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL1200883
CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,5.175,Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL175247
CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21,4.766666666666667,Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis | Competitive binding affinity to human PXR LBD (111 to 434) by TR-FRET assay,CHEMBL465
CCCCN1CCCC1C(=O)Nc1c(C)cc(C)cc1C,5.16,Activation of PXR in human cryopreserved hepatocytes assessed as induction of CYP3A4 | Activation of human PXR expressed in human HepG2 (DPX-2) cells after 24 hrs by luciferase reporter gene based luminescent analysis | Activation of human PXR expressed in human HepG2 (DPX-2) cells assessed as induction of CYP3A4 after 24 hrs by luminescent analysis,CHEMBL1870919
CCCC[C@H](NC(=O)Cc1c[nH]c2ccc(OC)cc12)c1ncc(-c2cc3ccccc3nc2OC)[nH]1,5.6,Activation of PXR (unknown origin) expressed in human DPX2 cells co-expressing luciferase gene under control of CYP3A4 promoter assessed as induction of CYP3A4 transcriptional activity incubated for overnight by luminescence based analysis,CHEMBL4858081
